country,gender,y_validfrom,m_validfrom,early_MP,normal_MP
11,1,1900,1,60,65
11,1,1942,4,61,65
11,2,1900,1,55,60
11,2,1947,4,56,60
12,1,1900,1,60,65
12,2,1900,1,60,60
12,2,1942,1,60,61
12,2,1944,1,60,62
13,1,1900,1,60,65
13,1,1939,1,61,65
13,2,1900,1,60,65
13,2,1939,1,61,65
14,1,1900,1,60,65
14,2,1900,1,60,65
15,1,1900,1,60,65
15,1,1936,1,61,65
15,2,1900,1,60,65
15,2,1936,1,61,65
16,1,1900,1,55,60
16,1,1934,1,55,61
16,1,1934,7,55,62
16,1,1935,1,55,63
16,1,1935,7,55,64
16,1,1936,1,55,65
16,1,1945,1,57,65
16,2,1900,1,55,55
16,2,1939,1,55,56
16,2,1939,7,55,57
16,2,1940,1,55,58
16,2,1940,7,55,59
16,2,1941,1,55,60
16,2,1945,1,57,60
17,1,1900,1,55,60
17,2,1900,1,55,60
18,1,1900,1,60,65
18,2,1900,1,60,65
19,1,1900,1,55,65
19,2,1900,1,55,60
20,1,1900,1,65,65
20,1,1928,1,64,65
20,1,1929,1,63,65
20,2,1900,1,62,62
20,2,1930,1,61,62
20,2,1931,1,60,62
20,2,1932,1,59,62
20,2,1939,1,60,62
20,2,1954,1,60,63
23,1,1900,1,60,65
23,2,1900,1,55,60
23,2,1937,1,55,61
23,2,1939,1,55,62
23,2,1941,1,55,63